code,m_number,opendate,o_code,o_codename,d_o_code,d_o_codename,closedate,op_days,area,address,r_address,address_gu,name,type,t_area,status
3020000,3020000-104-2017-00102,2017-07-26,3,폐업,2,폐업,2019-08-30,765,3.3,서울특별시 용산구 이태원동 671번지 ,"서울특별시 용산구 녹사평대로 234, 1층 101호 (이태원동)",용산구,GS25,편의점,3.3,1
3020000,3020000-104-2005-00048,2005-10-11,3,폐업,2,폐업,2009-02-17,1225,3,서울특별시 용산구 용산동6가 168-6번지 (별관A동 1층) ,,용산구,훼미리마트,편의점,3,1
3020000,3020000-104-2009-00047,2009-07-16,3,폐업,2,폐업,2012-04-16,1005,6.6,서울특별시 용산구 청파동2가 71-88번지 (명신프라자 101호) ,,용산구,세븐일레븐,편의점,6.6,1
3020000,3020000-104-2011-00049,2011-03-24,3,폐업,2,폐업,2012-02-29,342,6.6,서울특별시 용산구 도원동 8-24번지 (지상1층) ,,용산구,훼미리마트,편의점,6.6,1
3020000,3020000-104-2011-00116,2011-09-23,3,폐업,2,폐업,2018-02-28,2350,5,서울특별시 용산구 용산동2가 1-704번지 (지상1층) ,"서울특별시 용산구 신흥로 117 (용산동2가,(지상1층))",용산구,CU,편의점,5,1
3020000,3020000-104-2012-00010,2012-02-09,3,폐업,2,폐업,2018-02-26,2209,9.9,서울특별시 용산구 한강로3가 16-9번지 외6필지 용산전자랜드(지상1층) ,"서울특별시 용산구 청파로 74 (한강로3가, 16-9외6필지 용산전자랜드 지상1층)",용산구,CU,편의점,9.9,1
3020000,3020000-104-2013-00086,2013-11-15,3,폐업,2,폐업,2017-11-21,1467,6.6,서울특별시 용산구 효창동 70-3번지 지상1층 ,"서울특별시 용산구 백범로 295 (효창동, 70-3 지상1층)",용산구,세븐일레븐,편의점,6.6,1
3020000,3020000-104-2013-00080,2013-10-14,3,폐업,2,폐업,2015-06-17,611,6,서울특별시 용산구 원효로3가 51-7번지 지상1층 ,"서울특별시 용산구 원효로 154 (원효로3가, 51-7 지상1층)",용산구,CU,편의점,6,1
3020000,3020000-104-2008-00033,2008-06-26,3,폐업,2,폐업,2009-04-30,308,6.6,서울특별시 용산구 이촌동 362-1번지 동작대교주차장옆 ,,용산구,세븐일레븐,편의점,6.6,1
3020000,3020000-104-2011-00138,2011-12-15,3,폐업,2,폐업,2020-10-12,3224,3.3,서울특별시 용산구 한강로3가 3-23 (지상1층) ,"서울특별시 용산구 청파로 112 (한강로3가, 3-23 지상1층)",용산구,GS25,편의점,3.3,1
3020000,3020000-104-2011-00047,2011-03-23,3,폐업,2,폐업,2014-04-17,1121,6.6,서울특별시 용산구 원효로2가 96-1번지 (지상1층) ,"서울특별시 용산구 새창로 146 (원효로2가,(지상1층))",용산구,GS25,편의점,6.6,1
